system,node_name,release,version,machine,processor,physical_cores,total_cores,total_memory,available_memory,start_time,index,pipeline_name,input_mem2graph_dataset_dir_path,node_embedding,node2vec_dimensions,node2vec_walk_length,node2vec_num_walks,node2vec_p,node2vec_q,node2vec_window,node2vec_batch_words,node2vec_workers,random_forest_n_estimators,random_forest_n_jobs,nb_input_graphs,imbalance_ratio,precision_class_0,recall_class_0,f1_score_class_0,support_class_0,precision_class_1,recall_class_1,f1_score_class_1,support_class_1,true_positives,true_negatives,false_positives,false_negatives,AUC,end_time,duration
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,38340640768,2023_10_21_23_25_32_607484,13,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,node2vec,128,16,50,1.0,0.5,10,8,16,500,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_23_25_59_896766,27.289282 total sec (00h 00m 27s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,38275874816,2023_10_21_23_25_34_302000,16,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,node2vec,128,16,50,1.0,1.0,10,8,16,100,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_23_26_00_741822,26.439822 total sec (00h 00m 26s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,38320001024,2023_10_21_23_25_35_121754,17,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,node2vec,128,16,50,1.0,1.0,10,8,16,500,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_23_26_02_489896,27.368142 total sec (00h 00m 27s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,38336253952,2023_10_21_23_25_34_139667,14,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,node2vec,128,16,50,1.0,0.5,10,8,16,1000,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_23_26_02_503719,28.364052 total sec (00h 00m 28s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,38383251456,2023_10_21_23_25_58_581131,18,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,node2vec,128,16,50,1.0,1.0,10,8,16,1000,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_23_26_28_774758,30.193627 total sec (00h 00m 30s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,38376263680,2023_10_21_23_26_00_207825,20,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,node2vec,128,16,50,1.0,1.5,10,8,16,100,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_23_26_28_916428,28.708603 total sec (00h 00m 28s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,38381080576,2023_10_21_23_26_00_743088,21,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,node2vec,128,16,50,1.0,1.5,10,8,16,500,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_23_26_30_172251,29.429163 total sec (00h 00m 29s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,38341910528,2023_10_21_23_26_02_491263,22,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,node2vec,128,16,50,1.0,1.5,10,8,16,1000,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_23_26_32_477574,29.986311 total sec (00h 00m 29s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,38211506176,2023_10_21_23_26_28_261158,24,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,node2vec,128,16,50,1.5,0.5,10,8,16,100,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_23_26_55_220657,26.959499 total sec (00h 00m 26s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,38198870016,2023_10_21_23_26_28_776600,25,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,node2vec,128,16,50,1.5,0.5,10,8,16,500,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_23_26_56_467389,27.690789 total sec (00h 00m 27s)
