system,node_name,release,version,machine,processor,physical_cores,total_cores,total_memory,available_memory,start_time,nb_input_graphs,duration_embedding,nb_node_features,subpipeline_name,index,pipeline_name,input_mem2graph_dataset_dir_path,node_embedding,node2vec_dimensions,node2vec_walk_length,node2vec_num_walks,node2vec_p,node2vec_q,node2vec_window,node2vec_batch_words,node2vec_workers,first_gcn_training_epochs,imbalance_ratio,precision_class_0,recall_class_0,f1_score_class_0,support_class_0,precision_class_1,recall_class_1,f1_score_class_1,support_class_1,true_positives,true_negatives,false_positives,false_negatives,AUC,duration_train_test
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,410437173248,2023_10_27_15_16_00_143039,16,1166.760833 total sec (00h 19m 26s),128,first-gcn-pipeline,15,gcn-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,1.0,0.5,10,8,16,20,214.13333333333333,0.9974453137474054,0.9724470734744707,0.9847875778355797,6424.0,0.07329842931937172,0.4666666666666667,0.12669683257918551,30.0,14,6247,177,16,0.7195568700705688,1.055751 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,362592862208,2023_10_27_15_36_20_377008,16,1180.116855 total sec (00h 19m 40s),128,first-gcn-pipeline,23,gcn-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,1.0,1.5,10,8,16,20,214.13333333333333,0.9971599873777217,0.9838107098381071,0.9904403698479863,6424.0,0.10344827586206896,0.4,0.1643835616438356,30.0,12,6320,104,18,0.6919053549190535,2.843977 total sec (00h 00m 02s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,362591313920,2023_10_27_15_36_20_379129,16,1180.456468 total sec (00h 19m 40s),128,first-gcn-pipeline,19,gcn-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,1.0,1.0,10,8,16,20,214.13333333333333,0.9973143759873617,0.9827210460772104,0.9899639328838011,6424.0,0.10483870967741936,0.43333333333333335,0.16883116883116883,30.0,13,6313,111,17,0.7080271897052719,4.950856 total sec (00h 00m 04s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,384359219200,2023_10_27_15_56_49_841095,16,1158.268029 total sec (00h 19m 18s),128,first-gcn-pipeline,27,gcn-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,1.5,0.5,10,8,16,20,214.13333333333333,0.9980919065034186,0.9771170610211706,0.9874931172815228,6424.0,0.10909090909090909,0.6,0.1846153846153846,30.0,18,6277,147,12,0.7885585305105853,1.031893 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,366181142528,2023_10_27_16_16_50_863548,16,1176.299556 total sec (00h 19m 36s),128,first-gcn-pipeline,35,gcn-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,1.5,1.5,10,8,16,20,214.13333333333333,0.9956535237503881,0.9984433374844334,0.9970464790921809,6424.0,0.16666666666666666,0.06666666666666667,0.09523809523809522,30.0,2,6414,10,28,0.53255500207555,1.397847 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,366181142528,2023_10_27_16_16_50_860432,16,1177.704405 total sec (00h 19m 37s),128,first-gcn-pipeline,31,gcn-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,1.5,1.0,10,8,16,20,214.13333333333333,0.9979882648784577,0.9266811955168119,0.9610138025667931,6424.0,0.03680981595092025,0.6,0.06936416184971099,30.0,18,5953,471,12,0.763340597758406,1.269499 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,389650915328,2023_10_27_16_37_16_697318,16,1450.278591 total sec (00h 24m 10s),128,first-gcn-pipeline,39,gcn-pipeline,/root/phdtrack/mem2graph/data/4_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-statistic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,0.5,0.5,10,8,16,20,222.66666666666666,0.9992060971737059,0.942065868263473,0.9697950377562028,6680.0,0.06067961165048544,0.8333333333333334,0.11312217194570136,30.0,25,6293,387,5,0.8876996007984033,1.269276 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,390884061184,2023_10_27_17_02_03_798628,16,1468.548995 total sec (00h 24m 28s),128,first-gcn-pipeline,47,gcn-pipeline,/root/phdtrack/mem2graph/data/4_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-statistic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,0.5,1.5,10,8,16,20,222.66666666666666,0.9990746452806909,0.9697604790419162,0.9841993315101792,6680.0,0.10619469026548672,0.8,0.1875,30.0,24,6478,202,6,0.8848802395209582,1.137382 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,390884577280,2023_10_27_17_02_03_792694,16,1476.463853 total sec (00h 24m 36s),128,first-gcn-pipeline,43,gcn-pipeline,/root/phdtrack/mem2graph/data/4_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-statistic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,0.5,1.0,10,8,16,20,222.66666666666666,0.9972636059592581,0.9820359281437125,0.9895911902247699,6680.0,0.09090909090909091,0.4,0.14814814814814814,30.0,12,6560,120,18,0.6910179640718562,1.16744 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,366465572864,2023_10_27_17_27_25_497574,16,1464.171701 total sec (00h 24m 24s),128,first-gcn-pipeline,51,gcn-pipeline,/root/phdtrack/mem2graph/data/4_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-statistic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,1.0,0.5,10,8,16,20,222.66666666666666,0.9995373226403454,0.9702095808383233,0.9846551200243087,6680.0,0.11946902654867257,0.9,0.21093750000000003,30.0,27,6481,199,3,0.9351047904191616,1.120759 total sec (00h 00m 01s)
