system,node_name,release,version,machine,processor,physical_cores,total_cores,total_memory,available_memory,pipeline_name,start_time,random_seed,index,node2vec_dimensions,node2vec_walk_length,node2vec_num_walks,node2vec_p,node2vec_q,node2vec_window,node2vec_batch_words,imbalance_ratio,precision_class_0,recall_class_0,f1_score_class_0,support_class_0,precision_class_1,recall_class_1,f1_score_class_1,support_class_1,true_positives,true_negatives,false_positives,false_negatives,AUC,end_time,duration
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,49293762560,PipelineNames.FirstGCNPipeline,2023_10_17_16_15_10_190081,42,199,128,16,50,1.0,1.0,20,16,226.6,0.9956063268892794,1.0,0.9977983267283135,13596.0,0.0,0.0,0.0,60.0,0,13596,0,60,0.5,2023_10_17_16_36_44_935980,1294.745899 total sec (00h 21m 34s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,49238863872,PipelineNames.FirstGCNPipeline,2023_10_17_16_22_50_604924,42,201,128,16,50,1.0,1.5,10,16,226.6,0.9995449374288965,0.9693292144748455,0.9842052201187409,13596.0,0.11464968152866242,0.9,0.20338983050847456,60.0,54,13179,417,6,0.9346646072374227,2023_10_17_16_41_08_991995,1098.387071 total sec (00h 18m 18s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,49230163968,PipelineNames.FirstGCNPipeline,2023_10_17_16_22_48_956042,42,200,128,16,50,1.0,1.5,10,4,226.6,0.9993204469948656,0.973448072962636,0.986214605067064,13596.0,0.12378640776699029,0.85,0.21610169491525424,60.0,51,13235,361,9,0.9117240364813181,2023_10_17_16_41_09_854085,1100.898043 total sec (00h 18m 20s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,49213685760,PipelineNames.FirstGCNPipeline,2023_10_17_16_23_54_793986,42,202,128,16,50,1.0,1.5,20,4,226.6,0.9990226298774528,0.9773462783171522,0.9880655835223259,13596.0,0.1323943661971831,0.7833333333333333,0.22650602409638554,60.0,47,13288,308,13,0.8803398058252427,2023_10_17_16_45_49_225829,1314.431843 total sec (00h 21m 54s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,49246818304,PipelineNames.FirstGCNPipeline,2023_10_17_16_24_03_435414,42,203,128,16,50,1.0,1.5,20,16,226.6,0.9999227799227799,0.9524124742571345,0.9755895426806298,13596.0,0.08356940509915015,0.9833333333333333,0.15404699738903396,60.0,59,12949,647,1,0.967872903795234,2023_10_17_16_46_03_274334,1319.83892 total sec (00h 21m 59s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,51377954816,PipelineNames.FirstGCNPipeline,2023_10_17_16_36_27_564156,42,204,128,16,50,1.5,0.5,10,4,226.6,0.9980448187697398,0.9761694616063548,0.9869859448204059,13596.0,0.09497206703910614,0.5666666666666667,0.1626794258373206,60.0,34,13272,324,26,0.7714180641365107,2023_10_17_16_54_51_004146,1103.43999 total sec (00h 18m 23s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,50581352448,PipelineNames.FirstGCNPipeline,2023_10_17_16_36_44_941279,42,205,128,16,50,1.5,0.5,10,16,226.6,0.9956063268892794,1.0,0.9977983267283135,13596.0,0.0,0.0,0.0,60.0,0,13596,0,60,0.5,2023_10_17_16_55_06_683260,1101.741981 total sec (00h 18m 21s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,50454130688,PipelineNames.FirstGCNPipeline,2023_10_17_16_41_09_860156,42,207,128,16,50,1.5,0.5,20,16,226.6,0.9956063268892794,1.0,0.9977983267283135,13596.0,0.0,0.0,0.0,60.0,0,13596,0,60,0.5,2023_10_17_17_03_02_397232,1312.537076 total sec (00h 21m 52s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,50423611392,PipelineNames.FirstGCNPipeline,2023_10_17_16_41_08_996869,42,206,128,16,50,1.5,0.5,20,4,226.6,0.9990086174025776,0.9635186819652839,0.9809427533790108,13596.0,0.0865561694290976,0.7833333333333333,0.1558872305140962,60.0,47,13100,496,13,0.8734260076493086,2023_10_17_17_03_04_271657,1315.274788 total sec (00h 21m 55s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,50429595648,PipelineNames.FirstGCNPipeline,2023_10_17_16_45_49_230554,42,208,128,16,50,1.5,1.0,10,4,226.6,0.9956063268892794,1.0,0.9977983267283135,13596.0,0.0,0.0,0.0,60.0,0,13596,0,60,0.5,2023_10_17_17_03_30_745349,1061.514795 total sec (00h 17m 41s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,50456195072,PipelineNames.FirstGCNPipeline,2023_10_17_16_46_03_279873,42,209,128,16,50,1.5,1.0,10,16,226.6,0.9986420218785365,0.9735951750514857,0.9859595545789729,13596.0,0.10473815461346633,0.7,0.18221258134490237,60.0,42,13237,359,18,0.8367975875257428,2023_10_17_17_03_48_316952,1065.037079 total sec (00h 17m 45s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,50307661824,PipelineNames.FirstGCNPipeline,2023_10_17_16_54_51_009649,42,210,128,16,50,1.5,1.0,20,4,226.6,0.9984216459977452,0.9770520741394528,0.9876212780194046,13596.0,0.1111111111111111,0.65,0.1897810218978102,60.0,39,13284,312,21,0.8135260370697264,2023_10_17_17_18_39_150774,1428.141125 total sec (00h 23m 48s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,50309726208,PipelineNames.FirstGCNPipeline,2023_10_17_16_55_06_691290,42,211,128,16,50,1.5,1.0,20,16,226.6,0.9985376553741165,0.9040158870255958,0.9489287782281413,13596.0,0.031180400890868598,0.7,0.05970149253731343,60.0,42,12291,1305,18,0.8020079435127978,2023_10_17_17_18_56_937356,1430.246066 total sec (00h 23m 50s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,50182770688,PipelineNames.FirstGCNPipeline,2023_10_17_17_03_02_401942,42,212,128,16,50,1.5,1.5,10,4,226.6,0.998481742959083,0.9674168873197999,0.9827038738839702,13596.0,0.08281573498964803,0.6666666666666666,0.14732965009208104,60.0,40,13153,443,20,0.8170417769932332,2023_10_17_17_23_49_343208,1246.941266 total sec (00h 20m 46s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,50231607296,PipelineNames.FirstGCNPipeline,2023_10_17_17_03_04_276486,42,213,128,16,50,1.5,1.5,10,16,226.6,0.9993964541682384,0.9743306854957341,0.9867044057949425,13596.0,0.12967581047381546,0.8666666666666667,0.22559652928416485,60.0,52,13247,349,8,0.9204986760812004,2023_10_17_17_23_51_794448,1247.517962 total sec (00h 20m 47s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,50151251968,PipelineNames.FirstGCNPipeline,2023_10_17_17_03_30_753121,42,214,128,16,50,1.5,1.5,20,4,226.6,0.999767675985441,0.949543983524566,0.9740088271907654,13596.0,0.07671601615074024,0.95,0.1419676214196762,60.0,57,12910,686,3,0.949771991762283,2023_10_17_17_28_27_685751,1496.93263 total sec (00h 24m 56s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,50149351424,PipelineNames.FirstGCNPipeline,2023_10_17_17_03_48_322016,42,215,128,16,50,1.5,1.5,20,16,226.6,0.9996135116332998,0.9511621065019124,0.9747861154034599,13596.0,0.07649513212795549,0.9166666666666666,0.141206675224647,60.0,55,12932,664,5,0.9339143865842895,2023_10_17_17_28_56_420979,1508.098963 total sec (00h 25m 08s)
